"('work_time', 1)","('work_time', 2)","('work_time', 3)","('work_time', 4)","('work_time', 5)","('work_time', 6)","('Mouse_wheel', 1)","('Mouse_wheel', 2)","('Mouse_wheel', 3)","('Mouse_wheel', 4)","('Mouse_wheel', 5)","('Mouse_wheel', 6)","('mouse_wheel_click', 1)","('mouse_wheel_click', 2)","('mouse_wheel_click', 3)","('mouse_wheel_click', 4)","('mouse_wheel_click', 5)","('mouse_wheel_click', 6)","('mouse_click_left', 1)","('mouse_click_left', 2)","('mouse_click_left', 3)","('mouse_click_left', 4)","('mouse_click_left', 5)","('mouse_click_left', 6)","('mouse_click_right', 1)","('mouse_click_right', 2)","('mouse_click_right', 3)","('mouse_click_right', 4)","('mouse_click_right', 5)","('mouse_click_right', 6)","('mouse_movement', 1)","('mouse_movement', 2)","('mouse_movement', 3)","('mouse_movement', 4)","('mouse_movement', 5)","('mouse_movement', 6)","('keystroke', 1)","('keystroke', 2)","('keystroke', 3)","('keystroke', 4)","('keystroke', 5)","('keystroke', 6)",Student Id,Session 2,Session 3,Session 4,Session 5,Session 6,Student ID,"ES 1.1 
(2 points)","ES 1.2 
(3 points)","ES 2.1
(2 points)","ES 2.2
(3 points)","ES 3.1
(1 points)","ES 3.2
(2 points)","ES 3.3
(2 points)","ES 3.4
(2 points)","ES 3.5
(3 points)","ES 4.1
(15 points)","ES 4.2
(10 points)","ES 5.1
(2 points)","ES 5.2
(10 points)","ES 5.3
(3 points)","ES 6.1
(25 points)","ES 6.2
(15 points)","TOTAL
(100 points)",Trecut/Picat
4510.0,8514.0,10733.0,5879.0,5220.0,10561.0,480.0,910.0,2352.0,1026.0,478.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,2544.0,2629.0,3434.0,2117.0,1407.0,4719.0,112.0,250.0,312.0,4.0,94.0,34.0,128047.0,156817.0,225952.0,113056.0,130066.0,149627.0,1163.0,3022.0,4769.0,5057.0,3756.0,1536.0,36,5.5,4.0,5.0,4.0,2.75,36,2.0,3.0,1.0,0.0,1.0,1,0.0,2.0,3.0,13.0,9.0,2.0,10.0,3.0,16.0,13.0,79.0,1
4678.0,,,4450.0,6380.0,7808.0,530.0,,,739.0,1479.0,516.0,0.0,,,0.0,0.0,0.0,3056.0,,,1528.0,2435.0,6198.0,196.0,,,70.0,198.0,82.0,245312.0,,,160075.0,235202.0,461392.0,1435.0,,,3697.0,4185.0,1558.0,37,0.0,0.0,4.5,3.5,3.0,37,2.0,3.0,1.5,0.75,0.25,2,0.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,24.5,0
5990.0,8822.0,11363.0,3498.0,5071.0,8692.0,0.0,1369.0,1392.0,1054.0,50.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,1946.0,1930.0,1102.0,127.0,3860.0,16.0,150.0,290.0,30.0,12.0,54.0,86315.0,130336.0,104746.0,91117.0,14382.0,222963.0,3510.0,3969.0,7417.0,964.0,1807.0,1172.0,38,4.0,2.5,4.5,3.5,3.0,38,2.0,3.0,2.0,0.5,1.0,2,2.0,2.0,3.0,15.0,4.0,1.0,2.5,1.5,0.0,0.0,41.5,0
5749.0,8817.0,8812.0,4629.0,6576.0,9474.0,847.0,928.0,3882.0,841.0,926.0,1269.0,52.0,24.0,10.0,20.0,38.0,62.0,3075.0,2956.0,5020.0,2608.0,4016.0,5452.0,370.0,220.0,372.0,112.0,186.0,78.0,153241.0,141344.0,242141.0,114651.0,162972.0,297437.0,1831.0,5302.0,6877.0,2006.0,3825.0,1529.0,39,3.0,1.0,4.5,3.5,2.5,39,2.0,3.0,1.5,0.0,0.5,0,0.0,2.0,0.0,9.0,7.0,1.0,4.0,1.25,17.0,14.0,62.25,1
,7521.0,9265.0,4873.0,4025.0,10929.0,,2021.0,1202.0,688.0,789.0,1206.0,,2.0,0.0,0.0,0.0,0.0,,4664.0,4414.0,3700.0,2088.0,7234.0,,398.0,406.0,88.0,102.0,70.0,,336652.0,178333.0,116606.0,80966.0,273933.0,,4786.0,5793.0,3872.0,3163.0,3209.0,41,5.5,4.0,5.0,4.0,3.25,41,2.0,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,13.0,10.0,2.0,10.0,3.0,25.0,15.0,98.0,1
3805.0,8631.0,8392.0,4717.0,6375.0,9751.0,1172.0,2385.0,6227.0,2749.0,2122.0,1678.0,0.0,0.0,0.0,2.0,0.0,0.0,2675.0,6024.0,4642.0,4650.0,4144.0,8186.0,12.0,12.0,24.0,60.0,22.0,32.0,292848.0,690445.0,701885.0,480173.0,516556.0,1018632.0,1490.0,7401.0,4901.0,6238.0,4601.0,2975.0,44,5.5,4.0,4.5,4.0,3.0,44,2.0,3.0,1.5,2.5,1.0,2,2.0,2.0,3.0,9.0,8.5,1.0,7.5,3.0,14.0,11.75,73.75,1
7408.0,7994.0,,5466.0,,9070.0,0.0,0.0,,0.0,,614.0,0.0,0.0,,0.0,,0.0,3668.0,3540.0,,3388.0,,6296.0,64.0,54.0,,48.0,,66.0,108789.0,102547.0,,83554.0,,1507096.0,1400.0,2394.0,,1581.0,,1012.0,46,2.0,0.5,4.0,4.0,1.0,46,2.0,3.0,1.0,0.0,1.0,1,0.0,1.0,0.0,3.0,2.5,0.0,0.0,0.0,2.5,0.0,17.0,0
6549.0,8596.0,9400.0,5516.0,4445.0,9181.0,0.0,0.0,2970.0,47.0,139.0,213.0,0.0,0.0,12.0,0.0,2.0,0.0,3962.0,4690.0,4368.0,3213.0,2400.0,5173.0,174.0,384.0,310.0,120.0,146.0,68.0,140568.0,139711.0,316041.0,82841.0,74854.0,158167.0,1350.0,3976.0,2064.0,2062.0,4437.0,1027.0,51,1.0,1.0,4.0,4.0,0.5,51,1.5,1.5,0.25,0.0,1.0,2,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,8.75,0
5033.0,8644.0,8673.0,4250.0,5380.0,9177.0,0.0,0.0,0.0,0.0,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.0,3388.0,4114.0,1226.0,1572.0,0.0,156.0,308.0,336.0,26.0,126.0,0.0,72695.0,77600.0,95103.0,36954.0,106143.0,0.0,1584.0,5576.0,5998.0,1847.0,3639.0,1741.0,52,6.0,4.0,5.0,4.0,2.25,52,2.0,2.0,2.0,0.0,1.0,2,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,8.0,10.0,36.0,0
4190.0,8169.0,9706.0,4698.0,5345.0,5266.0,110.0,1613.0,3532.0,80.0,920.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,2142.0,2242.0,3558.0,1072.0,1581.0,2182.0,202.0,240.0,372.0,44.0,126.0,76.0,93423.0,167332.0,247153.0,48820.0,141783.0,156805.0,666.0,2033.0,2411.0,1032.0,1451.0,205.0,54,4.5,3.5,4.5,3.5,0.75,54,2.0,3.0,1.0,1.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,0.0,0.0,39.0,0
5206.0,7526.0,7163.0,4748.0,5848.0,9594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3138.0,3994.0,2374.0,2.0,2130.0,5368.0,168.0,328.0,300.0,0.0,106.0,42.0,132070.0,152673.0,91410.0,509.0,91357.0,193200.0,998.0,3476.0,3081.0,1519.0,1863.0,1104.0,56,2.5,3.0,4.5,3.0,3.0,56,2.0,3.0,2.0,2.5,1.0,2,2.0,1.0,1.5,15.0,10.0,1.5,7.0,2.25,16.5,8.5,77.75,1
,,,4626.0,,9523.0,,,,1644.0,,2006.0,,,,0.0,,0.0,,,,2576.0,,3938.0,,,,10.0,,48.0,,,,169180.0,,266267.0,,,,841.0,,1215.0,57,0.0,0.0,4.5,0.0,2.75,57,0.5,2.0,1.0,0.5,1.0,2,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,23.0,0
4845.0,9053.0,9236.0,3994.0,6038.0,8097.0,624.0,1145.0,2341.0,414.0,823.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2538.0,2846.0,3047.0,1592.0,2423.0,2994.0,74.0,190.0,240.0,92.0,90.0,42.0,100384.0,136409.0,159676.0,68437.0,101146.0,91132.0,1290.0,3384.0,3383.0,735.0,1286.0,434.0,59,3.5,2.0,4.0,3.5,2.0,59,1.0,3.0,2.0,0.0,0.5,2,1.0,2.0,1.5,3.0,5.0,1.5,5.25,1.5,2.5,3.0,34.75,0
,,,4615.0,7698.0,8261.0,,,,1435.0,3109.0,1526.0,,,,0.0,2.0,0.0,,,,2819.0,3770.0,4800.0,,,,58.0,178.0,128.0,,,,170089.0,244787.0,306135.0,,,,806.0,3046.0,925.0,60,2.0,0.5,4.0,3.5,1.0,60,2.0,3.0,1.0,0.0,1.0,2,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.5,0.0,0.0,16.5,0
,7120.0,10830.0,2775.0,7516.0,9138.0,,2417.0,0.0,8.0,60.0,9.0,,0.0,0.0,0.0,0.0,0.0,,2759.0,2974.0,2227.0,3047.0,4805.0,,130.0,208.0,82.0,108.0,84.0,,157020.0,72023.0,91077.0,147628.0,238881.0,,2733.0,7026.0,1431.0,4742.0,1137.0,61,0.0,1.0,4.5,3.5,1.5,61,1.5,1.5,2.0,2.0,1.0,2,0.0,2.0,3.0,15.0,4.0,0.5,3.0,1.0,19.0,0.0,57.5,1
5432.0,,,2887.0,,,481.0,,,0.0,,,0.0,,,0.0,,,3672.0,,,1344.0,,,308.0,,,48.0,,,213042.0,,,39933.0,,,984.0,,,3742.0,,,62,0.0,0.0,4.0,0.0,0.0,62,2.0,3.0,1.5,0.0,1.0,2,2.0,2.0,1.5,3.0,4.5,1.0,3.75,0.75,2.0,2.5,32.5,0
5837.0,8380.0,10133.0,7323.0,6155.0,9417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3004.0,2296.0,3818.0,4901.0,2663.0,4178.0,228.0,114.0,224.0,18.0,92.0,44.0,96470.0,83922.0,147688.0,115609.0,83231.0,128760.0,1332.0,3204.0,4480.0,2164.0,3477.0,1258.0,63,3.5,1.5,5.0,3.5,1.0,63,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,7.0,6.0,2.0,10.0,3.0,12.0,10.0,69.0,1
3481.0,14738.0,7498.0,1611.0,5563.0,10510.0,1462.0,6614.0,3067.0,0.0,1430.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,2723.0,5793.0,2145.0,740.0,1602.0,5428.0,120.0,574.0,164.0,4.0,56.0,110.0,148894.0,341195.0,129419.0,35198.0,48463.0,413175.0,953.0,5439.0,2960.0,1728.0,3127.0,33973.0,66,0.0,2.0,4.5,3.0,2.25,66,2.0,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,18.0,10.0,86.0,1
4234.0,8948.0,8166.0,3540.0,6189.0,7270.0,457.0,4173.0,4040.0,793.0,3378.0,2649.0,0.0,158.0,24.0,6.0,118.0,170.0,2778.0,4518.0,4887.0,2894.0,4244.0,4276.0,312.0,384.0,348.0,52.0,262.0,102.0,114849.0,421003.0,365681.0,200441.0,313867.0,402330.0,598.0,3882.0,4077.0,1764.0,2848.0,1766.0,67,5.5,4.0,4.5,4.0,2.75,67,2.0,3.0,0.75,1.0,1.0,2,2.0,2.0,3.0,14.75,10.0,2.0,7.5,3.0,19.75,12.5,86.25,1
5386.0,,8220.0,5910.0,4795.0,10257.0,655.0,,1734.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2518.0,,3108.0,1722.0,1490.0,3494.0,220.0,,396.0,46.0,150.0,86.0,240041.0,,316639.0,69533.0,58295.0,148227.0,919.0,,3250.0,3182.0,5014.0,1810.0,68,5.5,3.5,5.0,4.0,3.0,68,2.0,2.5,1.5,3.0,1.0,2,2.0,1.75,3.0,14.0,8.5,2.0,10.0,3.0,12.0,8.5,76.75,1
4340.0,8701.0,8781.0,4670.0,4051.0,10726.0,14.0,0.0,2789.0,1011.0,1246.0,0.0,0.0,2.0,26.0,12.0,0.0,0.0,26.0,4.0,3655.0,3526.0,1956.0,0.0,0.0,0.0,384.0,24.0,108.0,0.0,3102.0,295.0,188496.0,147011.0,97271.0,62.0,1197.0,4715.0,5750.0,252.0,2027.0,2165.0,70,5.5,4.0,5.0,4.0,3.25,70,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,15.0,8.5,1.0,0.0,0.0,12.0,5.0,60.5,1
3496.0,8752.0,,2905.0,4268.0,,244.0,731.0,,309.0,872.0,,4.0,0.0,,0.0,0.0,,1652.0,3672.0,,1550.0,1880.0,,122.0,236.0,,54.0,104.0,,113643.0,270724.0,,101767.0,134675.0,,883.0,4644.0,,1474.0,1465.0,,71,5.0,0.0,5.0,3.5,0.0,71,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,15.0,10.0,0.5,5.0,1.5,25.0,14.5,90.5,1
,8479.0,7930.0,4807.0,5798.0,7294.0,,2085.0,211.0,1669.0,599.0,680.0,,0.0,0.0,0.0,0.0,0.0,,5864.0,506.0,1914.0,2850.0,5236.0,,480.0,24.0,20.0,128.0,76.0,,317438.0,22214.0,94355.0,219207.0,349756.0,,6111.0,3758.0,3774.0,2730.0,1959.0,72,4.5,3.0,4.0,3.5,2.75,72,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,15.0,7.0,2.0,10.0,3.0,24.0,15.0,95.0,1
5118.0,8904.0,8855.0,4519.0,,7828.0,3477.0,12507.0,6534.0,1803.0,,3939.0,0.0,0.0,0.0,0.0,,0.0,2493.0,2489.0,3832.0,1270.0,,3959.0,232.0,306.0,380.0,10.0,,70.0,118390.0,137230.0,372050.0,60679.0,,189470.0,1497.0,4282.0,4667.0,2864.0,,748.0,73,4.5,3.0,4.0,0.0,2.0,73,2.0,3.0,1.0,0.25,1.0,2,1.0,1.0,3.0,9.0,4.0,0.0,0.0,1.5,5.5,4.5,38.75,0
,,9809.0,2707.0,3704.0,9570.0,,,35.0,341.0,531.0,549.0,,,0.0,0.0,0.0,2.0,,,4386.0,1577.0,1816.0,4544.0,,,394.0,16.0,96.0,110.0,,,241109.0,99046.0,102241.0,245126.0,,,3906.0,1163.0,2299.0,566.0,75,0.0,4.0,5.0,4.0,2.0,75,2.0,2.0,2.0,1.5,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,7.5,1.5,24.0,10.0,87.5,1
5022.0,6487.0,8674.0,5374.0,4970.0,7694.0,810.0,0.0,4083.0,1029.0,1584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3530.0,3497.0,5742.0,5164.0,2600.0,2.0,66.0,26.0,12.0,38.0,14.0,0.0,208143.0,116874.0,398015.0,240048.0,198443.0,3.0,1469.0,6290.0,6005.0,4131.0,4549.0,925.0,76,4.0,4.0,4.0,4.0,2.0,76,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,2.0,15.0,10.0,2.0,10.0,3.0,24.0,12.0,93.5,1
